ID,inflation,win,loss,age_group,con_A-C
17-05-20.3CBDHA,557,96,43,A,1
17-05-20.4CBDHA,501,48,52,A,1
17-05-21.1CBDHA,676,72,63,A,1
17-05-21.2CBDHA,486,101,23,A,1
17-05-21.3CBDHA,410,80,22,A,1
17-05-28.2CBDHA,656,70,61,A,1
17-05-28.4CBDHA,538,113,29,A,1
17-05-29.2CBDHA,550,107,33,A,1
17-05-29.3CBDHA,350,47,25,A,1
17-06-03.1CBDHA,574,102,31,A,1
17-06-03.3CBDHA,625,95,40,A,1
17-06-03.4CBDHA,575,130,23,A,1
17-06-04.1CBDHA,527,90,42,A,1
17-06-04.2CBDHA,418,66,25,A,1
17-06-04.3CBDHA,584,86,43,A,1
17-06-10.1CBDHA,661,99,40,A,1
17-06-10.2CBDHA,385,82,21,A,1
17-06-11.4CBDHA,443,60,38,A,1
17-06-13.2CBDHA,413,74,22,A,1
17-06-13.4CBDHA,604,110,29,A,1
17-06-15.1CBDHA,439,51,32,A,1
17-06-15.2CBDHA,351,57,23,A,1
17-06-15.3CBDHA,359,51,27,A,1
17-06-15.4CBDHA,500,74,35,A,1
17-06-17.1CBDHA,486,49,45,A,1
17-06-17.2CBDHA,517,111,25,A,1
17-06-17.3CBDHA,620,90,48,A,1
17-06-17.4CBDHA,400,51,39,A,1
17-06-18.1CBDHA,375,52,27,A,1
17-06-18.3CBDHA,393,49,34,A,1
17-06-18.4CBDHA,435,80,22,A,1
17-06-23.1CBDHA,459,54,45,A,1
17-06-23.2CBDHA,325,50,23,A,1
17-06-23.3CBDHA,482,63,40,A,1
17-06-23.4CBDHA,445,56,42,A,1
17-06-24.1CBDHA,294,68,16,A,1
17-06-24.2CBDHA,658,71,60,A,1
17-06-24.4CBDHA,468,77,31,A,1
17-06-25.1CBDHA,487,123,15,A,1
17-06-25.2CBDHA,569,84,36,A,1
17-06-25.3CBDHA,380,57,23,A,1
17-06-25.4CBDHA,544,78,38,A,1
17-06-30.1CBDHA,601,56,63,A,1
17-06-30.2CBDHA,577,91,39,A,1
17-06-30.3CBDHA,543,100,34,A,1
17-06-30.4CBDHA,565,96,38,A,1
17-07-01.1CBDHA,560,66,53,A,1
17-07-01.2CBDHA,381,58,23,A,1
17-07-01.3CBDHA,602,87,49,A,1
17-07-01.4CBDHA,580,81,44,A,1
17-07-02.1CBDHA,493,77,41,A,1
17-07-02.2CBDHA,590,100,39,A,1
17-07-02.3CBDHA,349,49,32,A,1
17-05-20.1CBDPA,398,57,28,A,1
17-05-20.2CBDPA,559,81,41,A,1
17-05-20.3CBDPA,256,53,16,A,1
17-05-20.4CBDPA,253,34,5,A,1
17-05-21.1CBDPA,614,91,40,A,1
17-05-21.2CBDPA,439,49,40,A,1
17-05-21.3CBDPA,606,90,41,A,1
17-05-28.1CBDPA,338,55,25,A,1
17-05-28.2CBDPA,518,104,34,A,1
17-05-29.2CBDPA,285,79,10,A,1
17-05-29.3CBDPA,352,60,22,A,1
17-06-22.2CBDPA,281,89,6,A,1
17-06-22.3CBDPA,430,46,32,A,1
17-06-22.4CBDPA,271,23,28,A,1
17-06-24.1CBDPA,387,91,16,A,1
17-06-24.3CBDPA,480,70,37,A,1
17-06-25.1CBDPA,561,74,48,A,1
17-06-25.2CBDPA,455,80,22,A,1
17-06-25.3CBDPA,486,69,39,A,1
17-06-25.4CBDPA,458,66,36,A,1
17-07-01.1CBDPA,573,75,44,A,1
17-07-01.4CBDPA,513,76,34,A,1
17-07-01.5CBDPA,551,100,30,A,1
17-07-02.1CBDPA,377,57,26,A,1
17-07-02.2CBDPA,524,112,20,A,1
17-07-02.3CBDPA,633,90,48,A,1
17-07-02.5CBDPA,462,76,38,A,1
16-11-12.1CBDHC,242,86,8,C,-1
16-11-13.2CBDHC,385,104,13,C,-1
16-11-19.1CBDHC,256,135,7,C,-1
16-11-19.2CBDHC,449,88,31,C,-1
16-11-20.2CBDHC,396,95,25,C,-1
16-11-26.1CBDHC,487,63,35,C,-1
16-11-26.2CBDHC,567,113,25,C,-1
16-12-04.2CBDHC,471,86,35,C,-1
16-12-10.1CBDHC,386,99,19,C,-1
16-12-10.2CBDHC,475,61,41,C,-1
16-12-24.1CBDHC,364,82,23,C,-1
16-12-24.2CBDHC,441,122,14,C,-1
16-12-24.3CBDHC,312,111,10,C,-1
16-12-25.2CBDHC,316,87,18,C,-1
17-01-12.2CBDHC,310,29,35,C,-1
17-01-12.3CBDHC,284,95,7,C,-1
17-01-14.3CBDHC,389,86,20,C,-1
17-01-15.2CBDHC,373,82,8,C,-1
17-01-15.3CBDHC,442,111,22,C,-1
17-01-18.2CBDHC,412,86,32,C,-1
17-01-19.1CBDHC,467,110,20,C,-1
17-01-21.1CBDHC,219,43,16,C,-1
17-01-21.2CBDHC,337,120,11,C,-1
17-01-22.1CBDHC,276,84,5,C,-1
17-01-23.1CBDHC,298,92,14,C,-1
17-01-23.2CBDHC,403,83,20,C,-1
17-02-15.1CBDHC,312,41,27,C,-1
17-02-15.2CBDHC,392,89,27,C,-1
17-02-17.1CBDHC,279,102,11,C,-1
17-02-17.2CBDHC,421,50,47,C,-1
17-02-18.1CBDHC,282,89,13,C,-1
17-02-25.1CBDHC,368,45,34,C,-1
17-03-19.1CBDHC,450,118,17,C,-1
17-03-25.1CBDHC,370,89,16,C,-1
17-04-23.1CBDHC,336,103,14,C,-1
17-04-23.3CBDHC,388,84,22,C,-1
17-04-30.2CBDHC,142,84,1,C,-1
17-04-30.3CBDHC,346,50,31,C,-1
17-04-30.4CBDHC,233,115,4,C,-1
17-05-07.1CBDHC,180,121,3,C,-1
17-05-11.1CBDHC,395,58,29,C,-1
16-07-28.2CBD,438,86,35,C,-1
16-07-28.3CBD,341,65,25,C,-1
16-07-28.4CBD,434,109,13,C,-1
16-07-29.1CBD,352,60,24,C,-1
16-07-30.1CBD,308,51,20,C,-1
16-07-31.1CBD,353,104,12,C,-1
16-07-31.2CBD,530,98,34,C,-1
16-08-04.1CBD,335,66,22,C,-1
16-08-04.3CBD,292,123,9,C,-1
16-08-06.1CBD,396,59,26,C,-1
16-08-06.2CBD,405,72,17,C,-1
16-08-06.3CBD,453,98,22,C,-1
16-08-06.5CBD,220,47,9,C,-1
16-08-07.1CBD,294,75,10,C,-1
16-08-07.3CBD,344,51,29,C,-1
16-08-08.2CBD,152,84,3,C,-1
16-08-09.1CBD,269,25,25,C,-1
16-08-09.2CBD,274,53,9,C,-1
16-08-11.1CBD,150,102,5,C,-1
16-08-12.1CBD,432,56,31,C,-1
16-08-12.2CBD,291,39,26,C,-1
16-08-13.1CBD,332,85,12,C,-1
16-08-13.2CBD,264,85,4,C,-1
16-08-14.1CBD,166,79,5,C,-1
16-08-14.3CBD,518,76,41,C,-1
16-08-14.4CBD,479,106,18,C,-1
16-08-15.1CBD,447,79,29,C,-1
16-08-15.2CBD,338,75,14,C,-1
16-08-17.1CBD,199,115,5,C,-1
16-08-17.3CBD,299,42,25,C,-1
16-08-19.2CBD,296,74,9,C,-1
16-08-19.3CBD,373,92,22,C,-1
16-08-20.1CBD,437,81,30,C,-1
16-08-20.3CBD,351,109,11,C,-1
16-08-20.4CBD,299,29,30,C,-1
